code,desc,stressor,category
9.5,Pollution: Air-borne pollutants,NA,NA
9.5.1,Pollution: Air-borne pollutants: Acid rain,NA,NA
9.5.3,Pollution: Air-borne pollutants: Ozone,NA,NA
9.5.4,Pollution: Air-borne pollutants: Type Unknown/Unrecorded,NA,NA
9.6,Pollution: Excess energy,NA,NA
9.6.1,Pollution: Excess energy: Light pollution,light,land-based
9.6.2,Pollution: Excess energy: Thermal pollution,NA,NA
9.6.3,Pollution: Excess energy: Noise pollution,NA,NA
10,Geological events,NA,NA
10.1,Geological events: Volcanoes,NA,NA
10.2,Geological events: Earthquakes/tsunamis,NA,NA
10.3,Geological events: Avalanches/landslides,NA,NA
11,Climate change & severe weather,NA,NA
11.1,Climate change & severe weather: Habitat shifting & alteration,sst;slr;oa,climate
11.2,Climate change & severe weather: Droughts,NA,NA
11.3,Climate change & severe weather: Temperature extremes,sst;oa,climate
11.4,Climate change & severe weather: Storms & flooding,NA,NA
11.5,Climate change & severe weather: Other impacts,oa;slr;sst,climate
12,Other options,NA,NA
12.1,Other options: Other threat,NA,NA
